date,TSLA,earnings flag
2010-06-29,,0
2010-06-30,-0.012000083923339844,0
2010-07-01,-0.37399959564208984,0
2010-07-02,-0.5520002841949463,0
2010-07-06,-0.6180000305175781,0
2010-07-07,-0.06199979782104492,0
2010-07-08,0.3320000171661377,1
2010-07-09,-0.012000083923339844,0
2010-07-12,-0.06999993324279785,0
2010-07-13,0.21799993515014648,1
2010-07-14,0.3399999141693115,1
2010-07-15,0.009999990463256836,1
2010-07-16,0.14999985694885254,1
2010-07-19,0.254000186920166,1
2010-07-20,-0.32200002670288086,0
2010-07-21,-0.015999794006347656,0
2010-07-22,0.15599966049194336,1
2010-07-23,0.05800008773803711,1
2010-07-26,-0.06799983978271484,0
2010-07-27,-0.07999992370605469,0
2010-07-28,0.03399991989135742,1
2010-07-29,-0.07399988174438477,0
2010-07-30,-0.0820002555847168,0
2010-08-02,0.1960000991821289,1
2010-08-03,0.20599985122680664,1
2010-08-04,-0.1380000114440918,0
2010-08-05,-0.16199970245361328,0
2010-08-06,-0.17200016975402832,0
2010-08-09,0.002000093460083008,1
2010-08-10,-0.11400008201599121,0
2010-08-11,-0.22600007057189941,0
2010-08-12,-0.059999942779541016,0
2010-08-13,0.14400005340576172,1
2010-08-16,0.09200000762939453,1
2010-08-17,0.07399988174438477,1
2010-08-18,-0.07599997520446777,0
2010-08-19,0.003999948501586914,1
2010-08-20,0.06200003623962402,1
2010-08-23,0.20600008964538574,1
2010-08-24,-0.18600010871887207,0
2010-08-25,0.1400001049041748,1
2010-08-26,-0.029999971389770508,0
2010-08-27,-0.009999990463256836,0
2010-08-30,0.03399991989135742,1
2010-08-31,-0.07800006866455078,0
2010-09-01,0.194000244140625,1
2010-09-02,0.12199974060058594,1
2010-09-03,-0.0019998550415039062,0
2010-09-07,-0.10200023651123047,0
2010-09-08,0.07200002670288086,1
2010-09-09,-0.037999629974365234,0
2010-09-10,-0.10800027847290039,0
2010-09-13,0.1100001335144043,1
2010-09-14,0.07999992370605469,1
2010-09-15,0.17199993133544922,1
2010-09-16,-0.20799970626831055,0
2010-09-17,-0.1420001983642578,0
2010-09-20,0.1659998893737793,1
2010-09-21,-0.05800008773803711,0
2010-09-22,-0.17999982833862305,0
2010-09-23,-0.06200003623962402,0
2010-09-24,0.10800004005432129,1
2010-09-27,0.08599996566772461,1
2010-09-28,0.17400026321411133,1
2010-09-29,0.11599969863891602,1
2010-09-30,-0.31400012969970703,0
2010-10-01,0.03800010681152344,1
2010-10-04,0.07800006866455078,1
2010-10-05,0.026000022888183594,1
2010-10-06,-0.13199996948242188,0
